year,quarter,pred_name,stratum_area,size,area_size_fac
1981,2,GUR,3,80,0.263157895
1981,2,GUR,3,100,0.947368421
1981,2,GUR,3,120,2.263157895
1981,2,GUR,3,150,20.63157895
1981,2,GUR,3,200,12.94736842
1981,2,GUR,3,250,3.368421053
1981,2,GUR,3,300,0.842105263
1981,2,GUR,3,350,0.105263158
1981,2,GUR,3,400,0
1981,2,GUR,4,60,0
1981,2,GUR,4,70,0
1981,2,GUR,4,80,0.473684211
1981,2,GUR,4,100,6.894736842
1981,2,GUR,4,120,6.842105263
1981,2,GUR,4,150,118.1578947
1981,2,GUR,4,200,33.68421053
1981,2,GUR,4,250,6.263157895
1981,2,GUR,4,300,1.842105263
1981,2,GUR,4,350,0.52631579
1981,2,GUR,4,400,0
1981,2,GUR,5,60,0
1981,2,GUR,5,70,0
1981,2,GUR,5,80,0
1981,2,GUR,5,100,0.666666667
1981,2,GUR,5,120,2
1981,2,GUR,5,150,28.33333333
1981,2,GUR,5,200,46.08333333
1981,2,GUR,5,250,18.33333333
1981,2,GUR,5,300,5.416666667
1981,2,GUR,5,350,0.666666667
1981,2,GUR,5,400,0
1981,2,GUR,6,60,0
1981,2,GUR,6,70,0
1981,2,GUR,6,80,0.028985507
1981,2,GUR,6,100,0.434782609
1981,2,GUR,6,120,4.724637681
1981,2,GUR,6,150,68.85507246
1981,2,GUR,6,200,50.02898551
1981,2,GUR,6,250,9.739130435
1981,2,GUR,6,300,4.884057971
1981,2,GUR,6,350,2.463768116
1981,2,GUR,6,400,0.115942029
1981,2,GUR,7,60,0
1981,2,GUR,7,70,0
1981,2,GUR,7,80,0.272727273
1981,2,GUR,7,100,0.181818182
1981,2,GUR,7,120,0.5
1981,2,GUR,7,150,35.09090909
1981,2,GUR,7,200,27.54545455
1981,2,GUR,7,250,4.227272727
1981,2,GUR,7,300,0.954545455
1981,2,GUR,7,350,0.454545455
1981,2,GUR,7,400,0
1981,2,GUR,8,60,0
1981,2,GUR,8,70,0
1981,2,GUR,8,80,0
1981,2,GUR,8,100,0
1981,2,GUR,8,120,0
1981,2,GUR,8,150,0
1981,2,GUR,8,200,0
1981,2,GUR,8,250,0
1981,2,GUR,8,300,0
1981,2,GUR,8,350,0
1981,2,GUR,8,400,0
1981,2,GUR,9,60,0
1981,2,GUR,9,70,0
1981,2,GUR,9,80,0
1981,2,GUR,9,100,0
1981,2,GUR,9,120,0
1981,2,GUR,9,150,0
1981,2,GUR,9,200,0
1981,2,GUR,9,250,0
1981,2,GUR,9,300,0
1981,2,GUR,9,350,0
1981,2,GUR,9,400,0
1981,2,HAD,1,60,0.015151515
1981,2,HAD,1,70,0
1981,2,HAD,1,80,0
1981,2,HAD,1,100,0
1981,2,HAD,1,120,2.083333333
1981,2,HAD,1,150,277.7626263
1981,2,HAD,1,200,233.8484849
1981,2,HAD,1,250,39.71717172
1981,2,HAD,1,300,33.83585859
1981,2,HAD,1,350,11.21717172
1981,2,HAD,1,400,7.906565657
1981,2,HAD,1,500,1.156565657
1981,2,HAD,1,600,0.194444444
1981,2,HAD,1,700,0.03030303
1981,2,HAD,2,60,0
1981,2,HAD,2,70,0.28
1981,2,HAD,2,80,0.14
1981,2,HAD,2,100,0.026666667
1981,2,HAD,2,120,0.22
1981,2,HAD,2,150,149.7533333
1981,2,HAD,2,200,802.746
1981,2,HAD,2,250,162.2266667
1981,2,HAD,2,300,53.63333333
1981,2,HAD,2,350,12.912
1981,2,HAD,2,400,2.603333333
1981,2,HAD,2,500,0.333333333
1981,2,HAD,2,600,0
1981,2,HAD,2,700,0
1981,2,HAD,3,60,0.066666667
1981,2,HAD,3,70,0.133333333
1981,2,HAD,3,80,0.8
1981,2,HAD,3,100,1.555555556
1981,2,HAD,3,120,0.022222222
1981,2,HAD,3,150,245.5777778
1981,2,HAD,3,200,943.2111111
1981,2,HAD,3,250,134.6777778
1981,2,HAD,3,300,29.6
1981,2,HAD,3,350,7.9
1981,2,HAD,3,400,1.5
1981,2,HAD,3,500,0
1981,2,HAD,3,600,0
1981,2,HAD,3,700,0
1981,2,HAD,4,60,0
1981,2,HAD,4,70,0
1981,2,HAD,4,80,0
1981,2,HAD,4,100,0
1981,2,HAD,4,120,0
1981,2,HAD,4,150,159.3796296
1981,2,HAD,4,200,596.7962963
1981,2,HAD,4,250,73.08333333
1981,2,HAD,4,300,25.94444444
1981,2,HAD,4,350,7.833333333
1981,2,HAD,4,400,1.194444444
1981,2,HAD,4,500,0
1981,2,HAD,4,600,0
1981,2,HAD,4,700,0
1981,2,HAD,5,60,0
1981,2,HAD,5,70,0
1981,2,HAD,5,80,0
1981,2,HAD,5,100,0
1981,2,HAD,5,120,0.142857143
1981,2,HAD,5,150,0
1981,2,HAD,5,200,0.047619048
1981,2,HAD,5,250,0
1981,2,HAD,5,300,0
1981,2,HAD,5,350,0.071428571
1981,2,HAD,5,400,0
1981,2,HAD,5,500,0
1981,2,HAD,5,600,0
1981,2,HAD,5,700,0
1981,2,HAD,6,60,0
1981,2,HAD,6,70,0
1981,2,HAD,6,80,0
1981,2,HAD,6,100,0
1981,2,HAD,6,120,0
1981,2,HAD,6,150,0
1981,2,HAD,6,200,0.952380952
1981,2,HAD,6,250,0.190476191
1981,2,HAD,6,300,0.00952381
1981,2,HAD,6,350,0
1981,2,HAD,6,400,0
1981,2,HAD,6,500,0
1981,2,HAD,6,600,0
1981,2,HAD,6,700,0
1981,2,HAD,7,60,0
1981,2,HAD,7,70,0.230769231
1981,2,HAD,7,80,0.461538462
1981,2,HAD,7,100,0
1981,2,HAD,7,120,0
1981,2,HAD,7,150,34.70512821
1981,2,HAD,7,200,129.5897436
1981,2,HAD,7,250,22.57692308
1981,2,HAD,7,300,7.884615385
1981,2,HAD,7,350,8.91025641
1981,2,HAD,7,400,4.576923077
